,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
1901,0,2018,1,6.12323399573677E-17,788481.667408,0,0,1,0,0,1,0,0,0,21519
3264,0,2018,1,6.12323399573677E-17,825402.779792,0,0,1,0,0,1,0,0,0,21519
2313,0,2018,1,6.12323399573677E-17,2032459.289384,0,0,1,0,0,1,0,0,1,21324
7442,0,2018,1,6.12323399573677E-17,2376646.909268,0,0,1,0,0,1,0,1,0,21322
10330,0,2018,1,6.12323399573677E-17,2327993.903913,1,0,1,0,0,1,0,0,0,21213
10370,0,2018,0.8660254038,-0.5,65586.9081,0,0,1,0,0,1,0,0,0,20293
10316,0,2018,1,6.12323399573677E-17,1880431.854922,0,0,1,0,0,1,0,0,2,19528
9421,0,2017,-0.8660254038,0.5,15152790.183334,0,0,1,0,0,1,0,0,0,19397
7179,0,2018,1,6.12323399573677E-17,2027457.071988,0,0,1,0,0,1,0,1,0,19027
7014,0,2018,0.8660254038,-0.5,416188.933289,0,0,1,0,0,1,0,1,0,18623
4704,0,2018,1,6.12323399573677E-17,1297486.494531,0,0,2,0,0,1,0,0,0,18224
6065,0,2018,1,6.12323399573677E-17,1477199.917217,0,0,2,0,0,1,0,0,0,18224
10304,0,2018,1,6.12323399573677E-17,1432067.475438,0,0,2,0,0,1,0,0,0,18224
3973,0,2018,0.8660254038,-0.5,138706.442654,0,0,1,0,0,1,0,0,2,17300
2348,0,2018,0.8660254038,0.5,4629446.639157,0,0,2,0,0,1,0,0,1,17265
1621,0,2018,1,6.12323399573677E-17,1445073.011695,0,0,1,0,0,1,0,0,2,17145
2017,0,2017,0.5,0.8660254038,39102210.99337,0,0,1,0,0,1,0,1,0,16851
10329,0,2018,1,6.12323399573677E-17,2208602.898827,0,0,1,1,0,1,0,0,0,16342
8522,0,2018,0.8660254038,-0.5,208399.923553,0,0,1,0,0,1,0,1,1,16334
2351,0,2018,0.8660254038,0.5,5067926.654563,1,0,1,0,1,1,0,0,0,16146
9405,0,2017,-2.44929359829471E-16,1,10177908.790364,0,1,1,1,0,1,0,0,0,16111
