,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
35,0.0,2018.0,0.8660254037844387,-0.4999999999999998,90624.736699,0.0,0.0,0.0,0.0,0.0,1.0,3178.0,1.0,2.0,420.0
36,0.0,2018.0,0.8660254037844387,-0.4999999999999998,90836.739033,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0
37,0.0,2018.0,0.8660254037844387,-0.4999999999999998,90898.741035,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2937.0
38,0.0,2018.0,0.8660254037844387,-0.4999999999999998,92741.742971,1.0,0.0,0.0,0.0,1.0,1.0,3237.0,0.0,0.0,530.0
39,0.0,2018.0,0.8660254037844387,-0.4999999999999998,94227.745201,0.0,0.0,0.0,1.0,0.0,1.0,803.0,1.0,0.0,200.0
40,0.0,2018.0,0.8660254037844387,-0.4999999999999998,97262.012603,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0
41,0.0,2018.0,0.8660254037844387,-0.4999999999999998,101229.017604,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8742.0
42,0.0,2018.0,0.8660254037844387,-0.4999999999999998,101320.021245,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
43,0.0,2018.0,0.8660254037844387,-0.4999999999999998,101498.024121,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0
44,0.0,2018.0,0.8660254037844387,-0.4999999999999998,109590.026168,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,351.0
45,0.0,2018.0,0.8660254037844387,-0.4999999999999998,109897.028109,1.0,0.0,0.0,0.0,1.0,1.0,1614.0,0.0,0.0,206.0
46,0.0,2018.0,0.8660254037844387,-0.4999999999999998,111594.030023,1.0,0.0,1.0,0.0,1.0,1.0,5628.0,0.0,2.0,1243.0
47,0.0,2018.0,0.8660254037844387,-0.4999999999999998,113715.032147,1.0,0.0,0.0,0.0,1.0,1.0,518.0,1.0,1.0,180.0
48,1.0,2018.0,0.8660254037844387,-0.4999999999999998,114841.034005,0.0,0.0,1.0,0.0,0.0,1.0,85.0,1.0,0.0,0.0
49,0.0,2018.0,0.8660254037844387,-0.4999999999999998,154534.035731,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23932.0
50,1.0,2018.0,0.8660254037844387,-0.4999999999999998,156782.037754,0.0,0.0,1.0,0.0,0.0,1.0,513.0,0.0,0.0,2.0
51,1.0,2018.0,0.8660254037844387,-0.4999999999999998,178615.039628,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
52,1.0,2018.0,0.8660254037844387,-0.4999999999999998,178808.041606,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0
53,0.0,2018.0,0.8660254037844387,-0.4999999999999998,181223.043368,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,64.0
54,1.0,2018.0,0.8660254037844387,-0.4999999999999998,186377.045149,0.0,0.0,1.0,0.0,0.0,1.0,279.0,0.0,0.0,5.0
55,0.0,2018.0,0.8660254037844387,-0.4999999999999998,192241.04699,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,356.0
56,0.0,2018.0,0.8660254037844387,-0.4999999999999998,194646.049498,1.0,0.0,0.0,0.0,1.0,1.0,11122.0,0.0,0.0,2611.0
57,0.0,2018.0,0.8660254037844387,-0.4999999999999998,194926.051421,1.0,0.0,0.0,0.0,2.0,1.0,1905.0,0.0,1.0,212.0
58,0.0,2018.0,0.8660254037844387,-0.4999999999999998,227748.053676,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,266.0
59,1.0,2018.0,0.8660254037844387,-0.4999999999999998,245797.055517,0.0,0.0,2.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0
60,0.0,2018.0,0.8660254037844387,-0.4999999999999998,5709.761586,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0
61,0.0,2018.0,0.8660254037844387,-0.4999999999999998,6095.765416,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
62,0.0,2018.0,0.8660254037844387,-0.4999999999999998,6239.768905,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0
63,0.0,2018.0,0.8660254037844387,-0.4999999999999998,6414.772451,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
64,0.0,2018.0,0.8660254037844387,-0.4999999999999998,6507.774405,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0
65,0.0,2018.0,0.8660254037844387,-0.4999999999999998,16742.77616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
66,1.0,2018.0,0.8660254037844387,-0.4999999999999998,101087.778067,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
67,0.0,2018.0,0.8660254037844387,-0.4999999999999998,103635.779942,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0
68,0.0,2018.0,0.8660254037844387,-0.4999999999999998,107723.781763,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
69,0.0,2018.0,0.8660254037844387,-0.4999999999999998,111266.783583,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
70,1.0,2018.0,0.8660254037844387,-0.4999999999999998,111389.785422,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
71,0.0,2018.0,0.8660254037844387,-0.4999999999999998,111415.78718,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0
72,0.0,2018.0,0.8660254037844387,-0.4999999999999998,291299.789668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,527.0
73,0.0,2018.0,0.8660254037844387,-0.4999999999999998,346719.792048,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,46.0
74,1.0,2018.0,0.8660254037844387,-0.4999999999999998,354943.793897,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
75,0.0,2018.0,0.8660254037844387,-0.4999999999999998,355006.795631,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
76,0.0,2018.0,0.8660254037844387,-0.4999999999999998,355059.797508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
77,0.0,2018.0,0.8660254037844387,-0.4999999999999998,355361.799413,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0
78,0.0,2018.0,0.8660254037844387,-0.4999999999999998,355454.801287,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
79,1.0,2018.0,0.8660254037844387,-0.4999999999999998,371881.803779,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
80,0.0,2018.0,0.8660254037844387,-0.4999999999999998,410233.316123,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
81,1.0,2018.0,0.8660254037844387,-0.4999999999999998,410687.318463,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,1.0,2018.0,0.8660254037844387,-0.4999999999999998,433037.320259,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,0.0,2018.0,0.8660254037844387,-0.4999999999999998,433043.322042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
84,0.0,2018.0,0.8660254037844387,-0.4999999999999998,433848.323841,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0
85,1.0,2018.0,0.8660254037844387,-0.4999999999999998,438180.326033,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
86,1.0,2018.0,0.8660254037844387,-0.4999999999999998,440248.327995,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
87,0.0,2018.0,0.8660254037844387,-0.4999999999999998,440363.330447,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
88,0.0,2018.0,0.8660254037844387,-0.4999999999999998,441290.332552,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,26.0
89,1.0,2018.0,0.8660254037844387,-0.4999999999999998,441319.334486,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
90,0.0,2018.0,0.8660254037844387,-0.4999999999999998,441369.336472,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
91,1.0,2018.0,0.8660254037844387,-0.4999999999999998,441381.338299,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
92,1.0,2018.0,0.8660254037844387,-0.4999999999999998,441392.34009,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
93,0.0,2018.0,0.8660254037844387,-0.4999999999999998,449099.341938,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,11.0
94,1.0,2018.0,0.8660254037844387,-0.4999999999999998,451170.343727,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
95,1.0,2018.0,0.8660254037844387,-0.4999999999999998,452061.34559,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
